appid,name,price
6810,Commandos: Beyond the Call of Duty,3.99
6830,Commandos 2: Men of Courage,3.99
6840,Commandos 3: Destination Berlin,3.99
6850,Hitman 2: Silent Assassin,8.29
6860,Hitman: Blood Money,9.29
6870,Battlestations: Midway,4.99
6880,Just Cause,4.99
6900,Hitman: Codename 47,7.19
6910,Deus Ex: Game of the Year Edition,4.99
6920,Deus Ex: Invisible War,4.99
6980,Thief: Deadly Shadows,6.99
7000,Tomb Raider: Legend,4.99
7010,Project: Snowblind,3.99
7020,Rogue Trooper,6.99
7110,Jade Empire™: Special Edition,8.99
7200,Trackmania United Forever Star Edition,25.99
7210,"Runaway, A Road Adventure",6.99
7220,"Runaway, The Dream of The Turtle",6.99
7260,Loki,6.99
7340,Azada,6.99
7510,X-Blades,6.99
7520,Two Worlds II HD,14.99
7530,Two Worlds II Castle Defense,6.99
7600,Sid Meier's Railroads!,5.99
7610,Railroad Tycoon 3,5.99
7620,Railroad Tycoon II Platinum,2.99
7650,X-COM: Terror From the Deep,2.99
7660,X-COM: Apocalypse,2.99
7730,X-COM: Interceptor,2.99
7760,X-COM: UFO Defense,2.99
7770,X-COM: Enforcer,2.99
7830,Men of War™,3.99
7840,Death Track®: Resurrection,1.99
7860,NecroVision,3.99
7940,Call of Duty® 4: Modern Warfare®,19.99
8000,Tomb Raider: Anniversary,6.99
8080,Kane and Lynch: Dead Men™,4.99
8100,Conflict: Denied Ops,3.99
8140,Tomb Raider: Underworld,6.99
8170,Battlestations Pacific,6.99
8190,Just Cause 2,9.99
8310,Bone: Out From Boneville,0.0
8320,Bone: The Great Cow Race,0.0
8330,Telltale Texas Hold ‘Em,1.99
8340,Strong Bad's Cool Game for Attractive People: Season 1,22.99
8400,Geometry Wars: Retro Evolved,2.99
8500,EVE Online,0.0
8600,RACE 07,2.49
8790,GTR 2 FIA GT Racing Game,4.99
8800,Civilization IV: Beyond the Sword,5.99
8870,BioShock Infinite,19.99
8880,Freedom Force,2.99
8890,Freedom Force vs. the Third Reich,2.99
8930,Sid Meier's Civilization® V,19.99
8970,Axel & Pixel,3.49
9000,Spear of Destiny,2.49
9010,Return to Castle Wolfenstein,3.99
9030,QUAKE Mission Pack 2: Dissolution of Eternity,2.49
9040,QUAKE Mission Pack 1: Scourge of Armagon,2.49
9050,DOOM 3,0.0
9060,HeXen II,2.99
9160,Master Levels for Doom II,0.0
9180,Commander Keen,2.99
9200,RAGE,7.99
9310,"Warhammer® 40,000: Dawn of War® – Winter Assault",9.99
9340,Company of Heroes: Opposing Fronts,9.99
9350,Supreme Commander,8.99
9420,Supreme Commander: Forged Alliance,8.99
9450,"Warhammer® 40,000: Dawn of War® - Soulstorm",9.99
9460,Frontlines™: Fuel of War™,9.99
9480,Saints Row 2,9.99
9500,Gish,5.99
9710,Desperados 2: Cooper's Revenge,6.99
9760,Act of War: High Treason,1.99
9800,Death to Spies,3.99
9850,Codename: Panzers - Cold War,13.99
9880,Champions Online,0.0
9900,Star Trek Online,0.0
9940,Blade Kitten,1.99
9960,Haunted House™,4.79
9970,Star Raiders,6.99
9980,The UnderGarden,4.99
10090,Call of Duty: World at War,19.99
10100,King's Quest™ Collection,14.99
10110,Space Quest™ Collection,9.99
10120,Aces of the Galaxy™,6.99
10130,TimeShift™,9.99
10140,3D Ultra™ Minigolf Adventures,6.99
10150,Prototype™,14.99
10180,Call of Duty®: Modern Warfare® 2,19.99
10220,Postal III,8.99
